"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.333225833E0,1.516346741E-1,6.722520447E-1,9.704469452E0
3.343198833E0,1.769320679E-1,6.595285034E-1,9.720336456E0
3.353171833E0,1.519340515E-1,6.514453125E-1,9.717342682E0
3.363144833E0,1.372645569E-1,6.206094360E-1,9.709708557E0
3.373117833E0,9.280700684E-2,6.108796692E-1,9.699380035E0
3.383090833E0,7.469467163E-2,6.230044556E-1,9.713151398E0
3.393063833E0,7.738906860E-2,6.352789307E-1,9.758058014E0
3.403036833E0,6.541397095E-2,6.806346130E-1,9.737999725E0
3.413009833E0,8.158035278E-2,7.458988953E-1,9.737999725E0
3.422982833E0,7.349716187E-2,7.810757446E-1,9.760902100E0
3.432955833E0,7.723937988E-2,7.964936829E-1,9.751022644E0
3.442928833E0,5.164260864E-2,7.985893250E-1,9.740694122E0
3.452902833E0,4.340972900E-2,7.911048889E-1,9.731263733E0
3.462875833E0,7.888595581E-2,7.608677673E-1,9.700727234E0
3.472848833E0,1.178050232E-1,7.530839539E-1,9.719737701E0
3.482821833E0,1.384620667E-1,7.298822021E-1,9.745933228E0
3.492794625E0,1.389111328E-1,7.450007629E-1,9.730814667E0
3.502767625E0,1.321751404E-1,7.361691284E-1,9.752369843E0
3.512740625E0,1.011895752E-1,7.135661316E-1,9.730964355E0
3.522713625E0,5.254074097E-2,7.174580383E-1,9.696535950E0
3.532686625E0,5.822891235E-2,7.116201782E-1,9.712253265E0
3.542659625E0,7.963439941E-2,7.502398682E-1,9.735754395E0
3.552632625E0,9.774673462E-2,8.128097534E-1,9.737251282E0
3.562605625E0,9.071136475E-2,8.517288208E-1,9.734257507E0
3.572578625E0,1.422042847E-2,8.875044250E-1,9.759105835E0
3.582551625E0,-1.317260742E-2,8.596623230E-1,9.759405212E0
3.592524625E0,-2.095642090E-2,8.225395203E-1,9.724228363E0
3.602497625E0,6.526428223E-2,7.849676514E-1,9.688901825E0
3.612470625E0,1.296304321E-1,7.773335266E-1,9.709259491E0
3.622443625E0,1.710942078E-1,8.030799866E-1,9.724378052E0
3.632416625E0,2.483335876E-1,7.972421265E-1,9.715546417E0
3.642389625E0,2.447410583E-1,8.292755127E-1,9.751621399E0
3.652363625E0,2.372566223E-1,8.126600647E-1,9.788444824E0
3.662336625E0,1.445993042E-1,8.327183533E-1,9.699679413E0
3.672309625E0,8.547225952E-2,8.243357849E-1,9.693991241E0
3.682282625E0,6.197113037E-2,7.876620483E-1,9.723180542E0
3.692255625E0,6.601272583E-2,7.848179626E-1,9.678573303E0
